"year_month","zip_code","accident_count","light_signal_based_complaint_open_less_than_1_week","road_infra_based_complaint_open_less_than_1_month","road_infra_based_complaint_open_less_than_1_week","light_signal_based_complaint_open_less_than_1_month","light_signal_based_complaint_open_a_month_or_more","road_infra_based_complaint_open_a_month_or_more","dep_infra_based_complaint_open_less_than_1_week","dep_infra_based_complaint_open_less_than_1_month","dep_infra_based_complaint_open_a_month_or_more"
2024-01-01,"11366",13,7,0,6,2,0,0,0,0,0
2024-01-01,"11367",12,13,1,25,2,4,0,0,0,0
2024-01-01,"11368",46,59,5,13,4,5,0,0,0,0
2024-01-01,"11369",22,19,1,13,1,3,0,0,0,0
2024-01-01,"11370",11,28,1,15,1,2,0,0,0,0
2024-01-01,"11372",41,46,0,10,1,5,1,0,0,0
2024-01-01,"11373",33,26,3,13,2,6,0,0,0,0
2024-01-01,"11374",21,13,6,24,2,1,0,0,0,0
2024-01-01,"11375",32,63,4,27,3,1,0,0,0,0
2024-01-01,"11377",34,104,3,35,1,9,0,1,0,0
2024-01-01,"11378",24,25,1,23,1,5,0,0,0,0
2024-01-01,"11379",8,28,3,12,5,5,0,0,0,0
2024-01-01,"11385",62,64,6,31,3,6,0,1,0,0
2024-01-01,"11411",4,19,0,8,1,2,0,0,0,0
2024-01-01,"11412",15,15,1,19,1,4,0,0,0,0
2024-01-01,"11413",24,48,1,49,1,6,1,1,0,0
2024-01-01,"11414",11,18,2,16,2,2,0,0,0,0
2024-01-01,"11415",3,8,0,6,0,4,0,0,0,0
2024-01-01,"11416",14,16,2,18,0,1,0,0,0,0
2024-01-01,"11417",20,33,2,19,0,2,0,0,0,0
2024-01-01,"11418",16,21,2,23,1,2,0,0,0,0
2024-01-01,"11419",21,21,1,41,3,1,0,0,0,0
2024-01-01,"11420",37,26,2,36,3,0,1,0,0,0
2024-01-01,"11421",18,35,1,9,1,2,0,0,0,0
2024-01-01,"11422",14,22,2,29,5,1,0,0,0,0
2024-01-01,"11423",16,21,3,16,1,1,1,0,0,0
2024-01-01,"11426",10,7,2,12,0,1,0,0,0,0
2024-01-01,"11427",13,27,0,11,2,3,0,0,0,0
2024-01-01,"11428",5,14,0,17,1,1,1,0,0,0
2024-01-01,"11429",12,18,0,37,1,1,0,0,0,0
2024-01-01,"11430",2,2,0,1,1,4,0,0,0,0
2024-01-01,"11432",28,31,3,28,0,1,0,0,0,0
2024-01-01,"11433",16,36,0,33,2,0,0,0,0,0
2024-01-01,"11434",38,71,1,41,1,9,0,0,0,0
2024-01-01,"11435",26,18,4,29,2,3,1,0,0,0
2024-01-01,"11436",9,4,0,8,0,1,0,0,0,0
2024-01-01,"11691",31,16,0,23,2,1,0,0,0,0
2024-01-01,"11692",7,24,2,16,2,1,0,0,0,0
2024-01-01,"11693",7,11,1,4,0,0,0,0,0,0
2024-01-01,"11694",7,24,1,13,2,1,0,0,0,0
2024-01-01,"10301",28,30,0,35,1,3,0,0,0,0
2024-01-01,"10304",21,22,2,47,0,3,0,0,0,0
2024-01-01,"10305",16,20,0,26,2,1,0,0,0,0
2024-01-01,"10306",27,32,3,54,3,0,0,0,0,0
2024-01-01,"10307",2,7,0,10,0,0,0,0,0,0
